model,review_share,score_threshold,review_count,captured_defaults,total_defaults,precision_in_reviewed_group,capture_rate
logistic_regression,0.05,0.7950736564919868,450,335,1991,0.7444444444444445,0.16825715720743345
logistic_regression,0.1,0.7235845412179801,900,594,1991,0.66,0.2983425414364641
logistic_regression,0.2,0.5746484357991252,1800,955,1991,0.5305555555555556,0.47965846308387744
hist_gradient_boosting,0.05,0.6998839780244062,450,332,1991,0.7377777777777778,0.16675037669512807
hist_gradient_boosting,0.1,0.6003327082089571,900,620,1991,0.6888888888888889,0.311401305876444
hist_gradient_boosting,0.2,0.3145659732688216,1800,1008,1991,0.56,0.5062782521346058
