model,bin,n,score_min,score_max,mean_predicted_risk,realized_default_rate,calibration_gap_pred_minus_actual,abs_calibration_gap,ece_component
logistic_regression,0,900,5.3413019344679295e-09,0.2090391707186389,0.15977835845980448,0.12555555555555556,0.03422280290424892,0.03422280290424892,0.0034222802904248922
logistic_regression,1,900,0.2090784229777748,0.3069141786000311,0.26319566244138104,0.11777777777777777,0.14541788466360328,0.14541788466360328,0.014541788466360329
logistic_regression,2,900,0.3069154919999324,0.35859822774623,0.3334193564088911,0.1322222222222222,0.20119713418666887,0.20119713418666887,0.02011971341866689
logistic_regression,3,900,0.3586168556017525,0.4141328061170883,0.38603896961528045,0.13333333333333333,0.2527056362819471,0.2527056362819471,0.02527056362819471
logistic_regression,4,900,0.4143005137081714,0.4569036415104356,0.43674538420663017,0.1288888888888889,0.3078564953177413,0.3078564953177413,0.03078564953177413
logistic_regression,5,900,0.4569896272752352,0.4918959998632365,0.47522937759046435,0.14222222222222222,0.3330071553682421,0.3330071553682421,0.03330071553682421
logistic_regression,6,900,0.491906283396073,0.5245286458159674,0.5079404802196271,0.15444444444444444,0.3534960357751827,0.3534960357751827,0.03534960357751827
logistic_regression,7,900,0.524653008556729,0.574647426904462,0.5469136595530893,0.21666666666666667,0.3302469928864227,0.3302469928864227,0.03302469928864227
logistic_regression,8,900,0.5746524713777778,0.7235836622353086,0.6457421255464841,0.4011111111111111,0.24463101443537305,0.24463101443537305,0.024463101443537305
logistic_regression,9,900,0.7235924520620244,0.9965408850947636,0.8051748455101516,0.66,0.14517484551015158,0.14517484551015158,0.01451748455101516
hist_gradient_boosting,0,900,0.0224001990317658,0.0644008981184415,0.050989926003351865,0.035555555555555556,0.01543437044779631,0.01543437044779631,0.0015434370447796311
hist_gradient_boosting,1,900,0.0644237057673239,0.0824997173434574,0.0732623163381212,0.07,0.003262316338121199,0.003262316338121199,0.00032623163381211994
hist_gradient_boosting,2,900,0.0825632322408088,0.1021561915466816,0.09235972898753854,0.09888888888888889,-0.006529159901350348,0.006529159901350348,0.0006529159901350348
hist_gradient_boosting,3,900,0.1021705823146775,0.1229555601026009,0.11237986759145767,0.11555555555555555,-0.0031756879640978813,0.0031756879640978813,0.00031756879640978817
hist_gradient_boosting,4,900,0.1229695686867226,0.1450889593061131,0.13380052051462415,0.15222222222222223,-0.018421701707598076,0.018421701707598076,0.0018421701707598077
hist_gradient_boosting,5,900,0.1451094495102625,0.1715243059629272,0.1577324364373862,0.18333333333333332,-0.025600896895947134,0.025600896895947134,0.0025600896895947136
hist_gradient_boosting,6,900,0.171562629808417,0.2176966963036615,0.19222971835009908,0.17666666666666667,0.015563051683432416,0.015563051683432416,0.0015563051683432417
hist_gradient_boosting,7,900,0.2177784024569413,0.3145321803825909,0.2624276278107978,0.26,0.0024276278107978055,0.0024276278107978055,0.00024276278107978057
hist_gradient_boosting,8,900,0.3147011448137435,0.6003130881359607,0.41696705562635267,0.4311111111111111,-0.014144055484758444,0.014144055484758444,0.0014144055484758445
hist_gradient_boosting,9,900,0.600509288865924,0.8203215008508109,0.7034550925653864,0.6888888888888889,0.014566203676497524,0.014566203676497524,0.0014566203676497525
