dataset,model,n_train,n_test,label,label_prevalence_train,label_prevalence_test,roc_auc,average_precision,brier_score,top_5pct_capture,top_10pct_capture,top_20pct_capture
UCI Default of Credit Card Clients,logistic_regression,21000,9000,target_default,0.2211904761904762,0.2212222222222222,0.7158905401027409,0.49572672444033483,0.2079996918678749,0.16825715720743345,0.2983425414364641,0.47965846308387744
UCI Default of Credit Card Clients,hist_gradient_boosting,21000,9000,target_default,0.2211904761904762,0.2212222222222222,0.7772975249802596,0.5493260281956147,0.13590642196631592,0.16675037669512807,0.311401305876444,0.5062782521346058
