dataset,status,group_variable,reference_group,comparison_group,gap_definition,bootstrap_mean_gap,ci_lower_2_5pct,ci_upper_97_5pct,n_reference,n_comparison,claim_boundary
HMDA Fair-Lending Sample,completed,derived_race,White,Asian,comparison approval rate minus reference approval rate,0.026443939259107624,0.007630791935026727,0.04538337531589799,2177,1786,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_race,White,Race Not Available,comparison approval rate minus reference approval rate,-0.018625871175275886,-0.03882301959559283,0.0031894133267210203,2177,1369,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_race,White,Joint,comparison approval rate minus reference approval rate,0.039921047740116025,0.0021446731687515402,0.07655884458023099,2177,215,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_ethnicity,Not Hispanic or Latino,Ethnicity Not Available,comparison approval rate minus reference approval rate,-0.01515712698032976,-0.034989691736352094,0.005012815261614935,3602,1258,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_ethnicity,Not Hispanic or Latino,Hispanic or Latino,comparison approval rate minus reference approval rate,-0.0670898998245901,-0.10122914936749022,-0.03526395070851736,3602,553,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_ethnicity,Not Hispanic or Latino,Joint,comparison approval rate minus reference approval rate,0.04833463419793237,0.014380899500277655,0.0800606144734407,3602,210,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_sex,Joint,Male,comparison approval rate minus reference approval rate,-0.04935311858920069,-0.0724021167008576,-0.027762806176115703,2403,1592,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_sex,Joint,Female,comparison approval rate minus reference approval rate,-0.020562424964958716,-0.04322264754547388,0.00237632409791369,2403,1043,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
HMDA Fair-Lending Sample,completed,derived_sex,Joint,Sex Not Available,comparison approval rate minus reference approval rate,-0.036055584365696725,-0.06474615064502709,-0.007025192867889528,2403,585,"A confidence interval that does not cross zero indicates a statistically visible sample gap, not a legal discrimination claim."
