date,open,high,low,close,adj_close,volume,asset,ticker
2021-01-01,37.37457275390625,38.92817687988281,37.04630661010742,37.90501022338867,37.90501022338867,459165743,BNB,BNB-USD
2021-01-02,37.91710662841797,38.83625411987305,36.925601959228516,38.24159240722656,38.24159240722656,521965394,BNB,BNB-USD
2021-01-03,38.253726959228516,41.6063232421875,37.8181037902832,41.14897918701172,41.14897918701172,758008613,BNB,BNB-USD
2021-01-04,41.198280334472656,43.13212203979492,38.14398193359375,40.926353454589844,40.926353454589844,807877171,BNB,BNB-USD
2021-01-05,40.937278747558594,41.73460006713867,38.97895431518555,41.73460006713867,41.73460006713867,644270927,BNB,BNB-USD
2021-01-06,41.775535583496094,42.19270324707031,40.592529296875,42.16595458984375,42.16595458984375,641021601,BNB,BNB-USD
2021-01-07,42.196624755859375,44.470035552978516,41.49586868286133,43.44948959350586,43.44948959350586,829964770,BNB,BNB-USD
2021-01-08,43.568687438964844,43.5904655456543,40.534481048583984,42.39531707763672,42.39531707763672,650561500,BNB,BNB-USD
2021-01-09,42.373695373535156,44.11974334716797,41.59010314941406,43.93285369873047,43.93285369873047,590039660,BNB,BNB-USD
2021-01-10,43.944122314453125,45.155418395996094,40.59486389160156,42.4484748840332,42.4484748840332,701488832,BNB,BNB-USD
2021-01-11,42.47262191772461,42.477500915527344,35.17088317871094,38.371360778808594,38.371360778808594,890728694,BNB,BNB-USD
2021-01-12,38.279518127441406,39.930908203125,37.18550109863281,38.111610412597656,38.111610412597656,567249584,BNB,BNB-USD
2021-01-13,38.10942459106445,40.40154266357422,37.14378356933594,40.13593292236328,40.13593292236328,542384725,BNB,BNB-USD
2021-01-14,40.11882781982422,41.87310028076172,39.65635681152344,41.79368209838867,41.79368209838867,534108764,BNB,BNB-USD
2021-01-15,41.794952392578125,42.41106033325195,39.095462799072266,40.91897964477539,40.91897964477539,562019413,BNB,BNB-USD
2021-01-16,40.91943359375,43.91791915893555,40.733821868896484,43.17182540893555,43.17182540893555,604218252,BNB,BNB-USD
2021-01-17,43.1561393737793,46.654544830322266,41.09147262573242,45.68461227416992,45.68461227416992,664875513,BNB,BNB-USD
2021-01-18,45.76753234863281,46.803802490234375,44.156463623046875,45.353172302246094,45.353172302246094,586905636,BNB,BNB-USD
2021-01-19,45.33563995361328,47.09810256958008,41.94388961791992,42.7855339050293,42.7855339050293,750638729,BNB,BNB-USD
2021-01-20,42.66294860839844,42.75456237792969,40.30640411376953,42.60689926147461,42.60689926147461,684094133,BNB,BNB-USD
2021-01-21,42.60602569580078,42.635189056396484,38.44939041137695,38.64583969116211,38.64583969116211,621983627,BNB,BNB-USD
2021-01-22,38.635311126708984,41.40969467163086,36.95341491699219,40.85757064819336,40.85757064819336,561072899,BNB,BNB-USD
2021-01-23,40.86509323120117,41.85029220581055,39.58652877807617,40.81547927856445,40.81547927856445,468609053,BNB,BNB-USD
2021-01-24,40.86247253417969,42.191524505615234,40.50406265258789,41.88160705566406,41.88160705566406,450486066,BNB,BNB-USD
2021-01-25,41.87605285644531,43.3535270690918,40.6336555480957,41.62370300292969,41.62370300292969,507172505,BNB,BNB-USD
2021-01-26,41.655128479003906,42.47721481323242,40.00783157348633,41.69473648071289,41.69473648071289,546536514,BNB,BNB-USD
2021-01-27,41.75617218017578,42.04783630371094,39.73080062866211,40.994876861572266,40.994876861572266,519618043,BNB,BNB-USD
2021-01-28,40.986419677734375,43.076507568359375,40.50751876831055,42.52910614013672,42.52910614013672,533847527,BNB,BNB-USD
2021-01-29,42.38618087768555,44.00945281982422,41.90700149536133,42.85234832763672,42.85234832763672,651771603,BNB,BNB-USD
2021-01-30,42.853511810302734,44.98825454711914,42.6800651550293,44.77227783203125,44.77227783203125,533768579,BNB,BNB-USD
2021-01-31,44.79869842529297,45.70771026611328,43.429073333740234,44.27599334716797,44.27599334716797,512545443,BNB,BNB-USD
2021-02-01,44.30907440185547,52.1386833190918,43.524192810058594,51.607696533203125,51.607696533203125,1256933735,BNB,BNB-USD
2021-02-02,51.551883697509766,52.911865234375,49.3870735168457,51.05640411376953,51.05640411376953,1006694242,BNB,BNB-USD
2021-02-03,51.05010223388672,52.677433013916016,49.95558547973633,52.242637634277344,52.242637634277344,714000888,BNB,BNB-USD
2021-02-04,52.242210388183594,57.0709114074707,51.60264205932617,55.92512512207031,55.92512512207031,940905214,BNB,BNB-USD
2021-02-05,56.01080322265625,68.46395874023438,56.01080322265625,67.84556579589844,67.84556579589844,1431595319,BNB,BNB-USD
2021-02-06,67.8546371459961,75.4018783569336,62.208126068115234,72.73359680175781,72.73359680175781,2114553792,BNB,BNB-USD
2021-02-07,72.86821746826172,74.612548828125,64.49789428710938,68.59052276611328,68.59052276611328,1493688265,BNB,BNB-USD
2021-02-08,68.52555847167969,79.83154296875,67.85923767089844,79.83154296875,79.83154296875,2133574291,BNB,BNB-USD
2021-02-09,79.80702209472656,115.13184356689453,78.44632720947266,107.89927673339844,107.89927673339844,4425849540,BNB,BNB-USD
2021-02-10,107.70855712890625,148.07476806640625,107.70855712890625,129.73715209960938,129.73715209960938,7000323240,BNB,BNB-USD
2021-02-11,129.30523681640625,131.5356903076172,119.09626007080078,124.43425750732422,124.43425750732422,2809765027,BNB,BNB-USD
2021-02-12,124.15943145751953,140.2431640625,121.72706604003906,136.94839477539062,136.94839477539062,2981627650,BNB,BNB-USD
2021-02-13,136.92799377441406,138.4705352783203,125.72859954833984,133.4526824951172,133.4526824951172,2116751635,BNB,BNB-USD
2021-02-14,133.47377014160156,138.7567596435547,128.73171997070312,136.426513671875,136.426513671875,2312597445,BNB,BNB-USD
2021-02-15,136.2767791748047,139.21975708007812,119.7349853515625,129.56788635253906,129.56788635253906,2414986848,BNB,BNB-USD
2021-02-16,129.7397918701172,133.28060913085938,126.79663848876953,130.05665588378906,130.05665588378906,1925775294,BNB,BNB-USD
2021-02-17,130.08013916015625,175.11614990234375,127.09211730957031,164.67010498046875,164.67010498046875,5236224271,BNB,BNB-USD
2021-02-18,165.01882934570312,199.45562744140625,163.27488708496094,195.93263244628906,195.93263244628906,6110987389,BNB,BNB-USD
2021-02-19,195.98785400390625,342.8796081542969,195.3857421875,332.61602783203125,332.61602783203125,17982945189,BNB,BNB-USD
2021-02-20,332.91845703125,334.4550476074219,227.91375732421875,255.9537353515625,255.9537353515625,9680520706,BNB,BNB-USD
2021-02-21,254.53927612304688,307.5881042480469,250.5408172607422,293.923583984375,293.923583984375,8505963719,BNB,BNB-USD
2021-02-22,294.61236572265625,295.47857666015625,223.0193634033203,267.5097961425781,267.5097961425781,7885768925,BNB,BNB-USD
2021-02-23,267.3644104003906,268.5368347167969,190.41246032714844,230.99424743652344,230.99424743652344,8280752930,BNB,BNB-USD
2021-02-24,231.12159729003906,280.08819580078125,214.52471923828125,254.359130859375,254.359130859375,7154121651,BNB,BNB-USD
2021-02-25,254.4676055908203,264.70513916015625,233.88595581054688,233.88595581054688,233.88595581054688,4059853073,BNB,BNB-USD
2021-02-26,235.27029418945312,238.7550048828125,210.31076049804688,221.68043518066406,221.68043518066406,4167145958,BNB,BNB-USD
2021-02-27,221.9809112548828,237.17942810058594,220.09939575195312,225.2494354248047,225.2494354248047,2755271254,BNB,BNB-USD
2021-02-28,225.44593811035156,228.1730499267578,195.85267639160156,209.57440185546875,209.57440185546875,3129699003,BNB,BNB-USD
2021-03-01,209.95130920410156,259.4910583496094,209.95130920410156,254.6299285888672,254.6299285888672,5008256561,BNB,BNB-USD
2021-03-02,254.95335388183594,264.1693115234375,228.6416473388672,239.5225372314453,239.5225372314453,5882262804,BNB,BNB-USD
2021-03-03,239.68898010253906,254.25363159179688,236.90875244140625,241.09136962890625,241.09136962890625,5827707431,BNB,BNB-USD
