totalCirculatingUSD,name
"{'peggedUSD': 808154.4060060245, 'peggedAUD': 71182.10442397537}",Redbelly
{'peggedUSD': 20496.413167484974},Viction
{'peggedUSD': 90988.7181462531},GOAT
"{'peggedUSD': 0, 'peggedEUR': 0}",ZKsync Lite
{'peggedUSD': 469014.45851776504},Zircuit
{'peggedUSD': 453808798.7604872},Sui
{'peggedUSD': 334788.4509047647},Arbitrum Nova
"{'peggedUSD': 754263658.3929366, 'peggedEUR': 289425.9853696715, 'peggedTRY': 1022028.8780732489}",Plasma
{'peggedUSD': 11915198.051185347},Rootstock
{'peggedUSD': 6597011.199618336},Abstract
"{'peggedUSD': 2353478.5827768757, 'peggedREAL': 818.1018194194304}",Moonbeam
{'peggedUSD': 801520747.268091},TON
"{'peggedUSD': 37069726.76565459, 'peggedVAR': 286292.7728719867}",ZKsync Era
"{'peggedUSD': 4614157.072390126, 'peggedEUR': 4066.2357399724933}",Aurora
{'peggedUSD': 301228804.0369775},Sei
{'peggedUSD': 602636.8007788642},Gravity by Galxe
{'peggedUSD': 13330603.227347536},Injective
{'peggedUSD': 23917.29631887091},LightLink
{'peggedUSD': 5649603.58671239},Canto
"{'peggedUSD': 10913902.321594037, 'peggedEUR': 0}",Scroll
{'peggedUSD': 8205889.615752878},Moonriver
{'peggedUSD': 34456537.368505314},Mixin
{'peggedUSD': 1685162.2181741416},Meter
{'peggedUSD': 22977167.18982278},Stable
{'peggedUSD': 2083104154.7235317},X Layer
{'peggedUSD': 18946797.671912618},Etherlink
"{'peggedUSD': 16179828.999087417, 'peggedVAR': 1561.446970797773, 'peggedEUR': 21409499.484708685, 'peggedCHF': 1936106.299615957, 'peggedGBP': 2007.9610029115195, 'peggedREAL': 491412.0384505592, 'peggedARS': 5928.390202216709, 'peggedCLP': 5170.894440627458, 'peggedCOP': 6169.875245821432, 'peggedMXN': 4112.981427781611, 'peggedPEN': 1358.6261721464377}",Gnosis
{'peggedUSD': 2674642.8513919497},Nibiru
{'peggedUSD': 20980226.23202439},Conflux
{'peggedUSD': 79981854.02793726},Omni
{'peggedUSD': 832047.2940968231},Taiko
{'peggedUSD': 7192.763618435947},Rls
"{'peggedUSD': 108738874.00145915, 'peggedEUR': 1435712.6578818655, 'peggedCHF': 16761.869228631276, 'peggedREAL': 28621706.66372183, 'peggedGBP': 38232.276195727725}",Celo
"{'peggedUSD': 214988.63269754083, 'peggedEUR': 5463.420772361271}",Fuse
{'peggedUSD': 20004973.844105937},MegaETH
"{'peggedUSD': 337372215.7744672, 'peggedEUR': 143976.0110996022}",Fantom
"{'peggedUSD': 6181149937.444588, 'peggedRUB': 0.0035636655926055746}",Hyperliquid L1
{'peggedUSD': 9.992481329083806e-07},Zora
{'peggedUSD': 9261101.406343618},OKTChain
{'peggedUSD': 6554167.086326441},Hemi
{'peggedUSD': 568741293.8969239},Mantle
{'peggedUSD': 128375667.79314728},Near
{'peggedUSD': 0},Terra Classic
{'peggedUSD': 48855373.61476933},Flare
{'peggedUSD': 6214963.215485343},Plume Mainnet
{'peggedUSD': 1559980.243231558},Boba
{'peggedUSD': 0},NEO
{'peggedUSD': 235418.7925996291},Syscoin
"{'peggedUSD': 15335995145.549442, 'peggedEUR': 61485158.62647258, 'peggedJPY': 45.953211505693424, 'peggedCHF': 1387100.5321942924, 'peggedAUD': 2632.5174317460664, 'peggedVAR': 2423521.2021782966, 'peggedGBP': 858580.6694867763, 'peggedTRY': 168470.12821446164, 'peggedCAD': 1460.3741393715597, 'peggedKRW': 0.6807978743171669}",Solana
"{'peggedUSD': 3447611.2153298557, 'peggedEUR': 51.420154248608675}",ICP
{'peggedUSD': 169.52330941653312},0G
{'peggedUSD': 2180.3011249577057},Swellchain
"{'peggedUSD': 53988871.35159987, 'peggedEUR': 12936.480053053741, 'peggedGBP': 67644.9936616641}",Tempo
{'peggedUSD': 67769063.11621146},Polkadot
"{'peggedUSD': 0, 'peggedEUR': 1884.3672068935398}",Everscale
{'peggedUSD': 3374.2241210665684},Horizen
{'peggedUSD': 5099569.388950935},BSquared
{'peggedUSD': 89299.96185005283},Superposition
{'peggedUSD': 20355236.058245968},BOB
"{'peggedUSD': 942529243.3431656, 'peggedAUD': 222733.56392806134, 'peggedEUR': 13109959.309428979, 'peggedSGD': 7814.338651608538}",XRPL
{'peggedUSD': 2.9990860681008695},WEMIX3.0
{'peggedUSD': 0},Botanix
{'peggedUSD': 129243.02469844079},Edu_chain
{'peggedUSD': 88.63531977249494},Camp Network
{'peggedUSD': 87449.50943281908},Zkfair
{'peggedUSD': 541752.3602240654},Karura
{'peggedUSD': 0.8997270200662877},Moca
{'peggedUSD': 602614.6162866366},Lisk
{'peggedUSD': 179520032.77880517},Cronos
"{'peggedUSD': 4859238355.042194, 'peggedEUR': 57884328.96533669, 'peggedCAD': 1540149.690958615, 'peggedCHF': 3669406.572113353, 'peggedAUD': 2225082.9569068127, 'peggedGBP': 7869235.527291413, 'peggedTRY': 169820.17459323443, 'peggedARS': 599171.1333465477, 'peggedREAL': 323800.81466384185, 'peggedCLP': 4859.098945178531, 'peggedCOP': 32084.929921799805, 'peggedMXN': 4765.676765995456, 'peggedPEN': 1259.3468289937903, 'peggedKRW': 366367.78661456954}",Base
"{'peggedUSD': 110002041.47545625, 'peggedEUR': 288697.64574770804}",Noble
{'peggedUSD': 213541.50848325793},GateLayer
{'peggedUSD': 146902.20721337644},Shape
{'peggedUSD': 1.035906702733454},Ronin
{'peggedUSD': 826379.2739971059},edgeX L1
{'peggedUSD': 762482.7613325734},DFK
{'peggedUSD': 0},Kadena
"{'peggedUSD': 16028003.933792992, 'peggedARS': 232879.89713119165, 'peggedREAL': 86878.89910236315, 'peggedCLP': 46402.280231607416, 'peggedCOP': 30807.96559781094, 'peggedMXN': 32840.44869979412, 'peggedPEN': 32946.441304750646}",World Chain
"{'peggedUSD': 50090392.04782234, 'peggedKRW': 0.003403989371585834}",Codex
{'peggedUSD': 667.6320204000831},Degen
{'peggedUSD': 0},Xc
{'peggedUSD': 82.01248316140821},Ap3x
{'peggedUSD': 114009.52507788522},Bittensor EVM
"{'peggedUSD': 1006763950.703109, 'peggedEUR': 21496150.99979419, 'peggedJPY': 522288.3005647289, 'peggedCHF': 8980.83637155623, 'peggedAUD': 4139884.927690449}",Stellar
{'peggedUSD': 404356.4798090253},Bitlayer
{'peggedUSD': 870336.3086621502},Fogo
{'peggedUSD': 49.78720840847284},Orderly Network
{'peggedUSD': 768333.9191505568},Gensyn
{'peggedUSD': 951813.1105468984},Doma
{'peggedUSD': 11214414.135669516},Pharos
{'peggedUSD': 0},Polygon zkEVM
{'peggedUSD': 110238.4925707522},Elastos
{'peggedUSD': 10.99666357858796},Nero
"{'peggedUSD': 119043041.40593192, 'peggedEUR': 10572.819104194046, 'peggedCHF': 2.4641013740848794}",Sonic
{'peggedUSD': 0},Perennial
{'peggedUSD': 25.009649995587882},Xai
{'peggedUSD': 0},Aztec
{'peggedUSD': 7808.634584246118},Velas
"{'peggedUSD': 14491442.771267144, 'peggedCHF': 457.3290325889499, 'peggedEUR': 1378.181017817416, 'peggedKRW': 120941.28130825273}",Fraxtal
{'peggedUSD': 12968528.422861658},Blast
{'peggedUSD': 73737979.6390074},smartBCH
{'peggedUSD': 0},Acala
{'peggedUSD': 313159.18932459684},Ergo
{'peggedUSD': 1069131.126403},Kujira
{'peggedUSD': 1444418.745867905},EthereumPoW
{'peggedUSD': 0},re.al
{'peggedEUR': 0},Concordium
{'peggedVAR': 116600.30859999392},Secret
{'peggedUSD': 1.9024746360480862},Kiteai
{'peggedUSD': 484.80717805278584},Penumbra
{'peggedUSD': 153998.2760570982},Agoric
{'peggedUSD': 639503225.6123643},Robinhood Chain
{'peggedUSD': 9740.933106335957},VeChain
"{'peggedCHF': 0, 'peggedEUR': 1.156899924685815e-05}",Q Protocol
{'peggedUSD': 1652588.3517159314},Bifrost Network
{'peggedUSD': 17446.210243913534},Archway
{'peggedUSD': 901463.3094771274},Icon
{'peggedUSD': 4.427730850617125},Havah
{'peggedUSD': 0},BEVM
{'peggedUSD': 149436.42245315466},Filecoin
{'peggedUSD': 18511395.303746667},Abcore
{'peggedUSD': 1150005.6532498705},Songbird
{'peggedUSD': 95749971.2300799},Provenance
{'peggedUSD': 0.5798261856057694},TAC
{'peggedUSD': 29677197.76001813},Mezo
{'peggedUSD': 11476592.709917203},Hydration
{'peggedUSD': 154341283.4215129},Saga
{'peggedUSD': 42509.774852228744},Chia
{'peggedUSD': 21721.588174312725},Voi Network
{'peggedUSD': 2161718.351617883},Fluent
{'peggedUSD': 0.28257732457832424},exSat
{'peggedUSD': 4929858.515778843},Strato
