activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059032049,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,695000.0,90.000,7.500,0.477,2,23053.20,NA,17423.75,15693.75,,360,NA,NA,2,2,2,2,775000,1,1,3,5,1,NA,198,43,9,3,11,,,,,3,,,,,3,3,5,,,,,6,,,,,3,3,2,1,3,3,35-44,35-44,No,No,1,1,2,,,,,10,,,,9627,42.18,129000,158,2338,2661,24
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059001505,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,71,2,1,1,1,2,2,2,455000.0,100.000,6.875,0.602,2,NA,NA,8575.00,,35.00,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,106,47,2,10,3,,,,,5,,,,,3,4,2,25,,,,8,,,,,3,4,2,5,3,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,7115,55.08,129000,121,1803,2211,51
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059021830,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,755000.0,85.000,7.125,1.138,2,8129.25,NA,3781.25,1891.25,,360,NA,NA,2,2,2,2,895000,1,1,3,5,1,NA,332,45,9,9,2,,,,,2,,,,,3,3,5,,,,,5,,,,,3,3,1,2,3,3,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,5714,41.09,129000,165,2007,2106,36
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059042106,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,1,1,1,2,2,2,405000.0,21.053,7.125,0.542,2,13498.38,NA,6990.00,5000.00,,360,NA,NA,2,2,2,2,1905000,1,1,3,5,1,NA,269,20%-<30%,3,10,2,,,,,5,,,,,3,4,5,,,,,8,,,,,3,4,1,5,3,4,65-74,9999,Yes,NA,1,1,2,,,,,10,,,,2156,21.24,129000,159,614,1057,51
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059062633,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,71,2,1,1,1,2,2,2,855000.0,77.273,7.500,0.798,2,13563.00,NA,8265.00,6375.00,,360,NA,NA,2,2,2,2,1105000,1,1,3,5,1,NA,220,48,9,2,2,,,,,2,,,,,3,3,26,,,,,27,,,,,3,3,1,2,3,3,35-44,35-44,No,No,1,1,1,,,,,10,,,,6623,42.16,129000,183,1641,1815,23
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059032053,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,1,1,1,2,2,2,425000.0,44.737,6.625,0.069,2,12882.00,NA,8365.00,6375.00,,360,NA,NA,2,2,2,2,955000,1,1,3,5,1,NA,109,43,1,10,2,,,,,5,,,,,3,4,5,,,,,8,,,,,3,4,2,5,3,4,55-64,9999,No,NA,1,1,2,,,,,10,,,,8242,39.23,129000,153,2385,2493,26
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059042332,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,1,1,1,2,2,2,545000.0,80.000,7.625,1.236,2,11167.50,NA,5804.00,4074.00,,360,NA,NA,2,2,2,2,675000,1,1,3,5,1,NA,480,30%-<36%,9,9,2,,,,,2,,,,,3,3,5,,,,,5,,,,,3,3,2,2,3,3,25-34,45-54,No,No,1,1,2,,,,,10,,,,5197,23.34,129000,179,1863,2345,30
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059110604,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,71,2,1,1,1,2,2,2,545000.0,85.000,7.490,0.803,2,8953.20,NA,4458.50,2728.50,,360,NA,NA,2,2,2,2,645000,1,1,3,5,1,NA,208,42,1,10,2,,,,,5,,,,,3,4,2,25,,,,8,,,,,3,4,1,5,3,4,35-44,9999,No,NA,1,1,2,,,,,10,,,,8278,81.07,129000,95,2117,2522,46
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059021918,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,1,1,1,2,2,2,635000.0,85.442,7.375,0.534,2,18437.08,NA,9686.78,7956.78,,360,NA,NA,2,2,2,2,745000,1,1,3,5,1,NA,146,46,1,10,2,,,,,5,,,,,3,4,5,,,,,8,,,,,3,4,1,5,3,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,5035,51.2,129000,130,1463,1497,41
2024,549300AENO88GEUWCZ39,11244,CA,06059,06059021922,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,71,2,1,1,1,2,2,1,555000.0,79.913,7.750,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,695000,1,3,3,5,1,NA,351,45,9,3,3,,,,,2,,,,,3,3,6,,,,,5,,,,,3,3,1,1,3,3,55-64,55-64,No,No,1,1,1,,,,,10,,,,4953,45.04,129000,121,1377,1684,29
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059052532,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,1,1,2,1,1,1,2,2,2,745000.0,78.723,6.500,0.056,2,9516.1,NA,3050,1850,1245,360,NA,NA,2,2,2,2,945000,1,1,3,5,1,NA,158,42,1,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,6488,65.27,129000,115,1151,1306,29
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059062637,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,1,1,2,2,2,465000.0,47.917,5.875,-0.659,2,5748,NA,1200,,1003.6,360,NA,NA,2,2,2,2,965000,1,1,3,5,1,NA,133,39,3,10,2,,,,,5,,,,,2,4,2,25,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,5875,43.91,129000,107,438,744,22
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059110401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,1,1,1,1,2,2,2,765000.0,94.055,6.125,-0.431,2,4605.91,NA,NA,,2500,360,NA,NA,2,2,2,2,815000,1,1,3,5,1,NA,160,43,2,1,2,,,,,2,,,,,2,2,2,25,,,,2,25,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,5704,77.14,129000,103,996,1209,62
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059062634,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,755000.0,53.571,6.375,-0.581,2,6165.75,NA,NA,,1000,360,NA,NA,2,2,2,2,1405000,1,1,3,5,1,NA,206,49,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,5441,38.39,129000,146,1317,1590,30
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059110203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,1,1,2,2,2,745000.0,89.9,5.875,-1.059,2,6873.14,NA,1854.19,1854.19,20.5,360,NA,NA,2,2,2,2,825000,1,1,3,5,1,NA,169,38,1,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,5620,62.74,129000,109,1299,1572,61
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059087704,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,715000.0,81.743,6.000,-0.619,2,3769.1,NA,NA,,2500,360,NA,NA,2,2,2,2,875000,1,1,3,5,1,NA,128,49,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4780,80.71,129000,86,854,947,56
2024,8WH0EE09O9V05QJZ3V89,11244,CA,06059,06059110110,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,2,1,1,1,2,2,2,645000.0,80,6.500,-0.210,2,4022.6,NA,NA,,,360,NA,NA,2,2,2,2,805000,1,1,3,5,1,NA,327,<20%,3,3,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,6037,76.49,129000,72,938,1401,56
