date,open,high,low,close,adj_close,volume,asset,ticker,log_close,log_return,abs_log_return,negative_return,rolling_vol_7d,rolling_vol_30d,volume_log,volume_z_30d,return_z_30d,abs_return_z_30d,drawdown_30d,intraday_range,intraday_range_z_30d,stablecoin_peg_deviation,stablecoin_depeg_1pct,event_count_3d,event_ids_3d,weak_label_3d,event_count_7d,event_ids_7d,event_type_list_7d,severity_list_7d,weak_label_7d,AdrActCnt,TxCnt,CapMrktCurUSD,SplyCur,AdrActCnt_log,AdrActCnt_z_30d,TxCnt_log,TxCnt_z_30d,CapMrktCurUSD_log,CapMrktCurUSD_z_30d,SplyCur_log,SplyCur_z_30d,total_dex_volume,total_dex_volume_log,dex_volume_z_30d,defillama_chain,chain_tvl,chain_tvl_log,chain_tvl_z_30d
2021-01-01,37.37457275390625,38.92817687988281,37.04630661010742,37.90501022338867,37.90501022338867,459165743,BNB,BNB-USD,3.635083299219052,,,0,,,19.94492180088383,,,,,0.04964700599432138,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,729286271.03,20.40757690428902,1.065071746058541,BSC,162854223.0,18.90836602732987,0.5081307152317205
2021-01-02,37.91710662841797,38.83625411987305,36.92560195922851,38.24159240722656,38.24159240722656,521965394,BNB,BNB-USD,3.643923729764571,0.008840430545518974,0.008840430545518974,0,,,20.07311185054598,,,,,0.0499626725869156,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,852132362.0,20.563252428360954,1.4593286160035124,BSC,167630390.0,18.937272060122787,0.7967209570472341
2021-01-03,38.25372695922851,41.6063232421875,37.8181037902832,41.14897918701172,41.14897918701172,758008613,BNB,BNB-USD,3.7171991196953704,0.0732753899307994,0.0732753899307994,0,,,20.44620530765817,,,,,0.09206107968530146,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1384571334.0,21.048656423263864,2.5538757096873406,BSC,172123374.0,18.963722074155164,1.0423721590776265
2021-01-04,41.198280334472656,43.13212203979492,38.14398193359375,40.92635345458984,40.92635345458984,807877171,BNB,BNB-USD,3.7117741942947036,-0.005424925400666858,0.005424925400666858,1,,,20.509920590078455,,,,,0.1218808832244437,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1760672304.0,21.288961564533576,2.7048118984847496,BSC,186895591.0,19.04606068734296,1.835228507219623
2021-01-05,40.937278747558594,41.73460006713867,38.97895431518555,41.73460006713867,41.73460006713867,644270927,BNB,BNB-USD,3.731330522583698,0.01955632828899434,0.01955632828899434,0,,,20.283629891253195,,,,,0.0660278461401356,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1461982394.0,21.10305915647783,2.0023246691325687,BSC,211045497.0,19.167584298527217,2.6756991274629667
2021-01-06,41.775535583496094,42.19270324707031,40.592529296875,42.16595458984375,42.16595458984375,641021601,BNB,BNB-USD,3.7416131321594936,0.010282609575795743,0.010282609575795743,0,0.030394599733814278,,20.278573714785114,,,,,0.03794943019221333,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1413566366.0,21.069381686241893,1.7526338469957519,BSC,215858449.0,19.19013342675569,2.474178022426259
2021-01-07,42.196624755859375,44.47003555297851,41.49586868286133,43.44948959350586,43.44948959350586,829964770,BNB,BNB-USD,3.7715991046574993,0.02998597249800561,0.02998597249800561,0,0.02741573340527405,,20.536893813275807,,,,,0.06845113482211565,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1434981885.0,21.08441806308181,1.6346587537274402,BSC,215456820.0,19.188271080842682,2.1745037814145176
2021-01-08,43.56868743896485,43.5904655456543,40.534481048583984,42.39531707763672,42.39531707763672,650561500,BNB,BNB-USD,3.7470379098561195,-0.02456119480137975,0.02456119480137975,1,0.030759580716696107,,20.293346395644583,,,,,0.07208306736977624,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1638451089.0,21.217017175184615,1.7385285759395983,BSC,197292639.0,19.100198666698468,1.3582755511476405
2021-01-09,42.37369537353515,44.11974334716797,41.59010314941406,43.93285369873047,43.93285369873047,590039660,BNB,BNB-USD,3.7826624160128683,0.035624506156748836,0.035624506156748836,0,0.031381088183422154,,20.19570031463864,,,,,0.057579692298181065,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1330649256.0,21.008932823225095,1.2336474273938125,BSC,211193044.0,19.168283178382936,1.7216460464777603
2021-01-10,43.944122314453125,45.155418395996094,40.59486389160156,42.4484748840332,42.4484748840332,701488832,BNB,BNB-USD,3.7482909847629124,-0.0343714312499559,0.0343714312499559,1,0.0268713689991533,,20.36871553863454,0.40416162396538674,,,-0.03378744355821717,0.10743741717113994,1.3025421281561598,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1392378833.0,21.05427951269438,1.2335377889626231,BSC,215677849.0,19.18929641716672,1.7104668979642372
