date,open,high,low,close,adj_close,volume,asset,ticker,log_close,log_return,abs_log_return,negative_return,rolling_vol_7d,rolling_vol_30d,volume_log,volume_z_30d,return_z_30d,abs_return_z_30d,drawdown_30d,intraday_range,intraday_range_z_30d,stablecoin_peg_deviation,stablecoin_depeg_1pct,event_count_3d,event_ids_3d,weak_label_3d,event_count_7d,event_ids_7d,event_type_list_7d,severity_list_7d,weak_label_7d,AdrActCnt,TxCnt,CapMrktCurUSD,SplyCur,AdrActCnt_log,AdrActCnt_z_30d,TxCnt_log,TxCnt_z_30d,CapMrktCurUSD_log,CapMrktCurUSD_z_30d,SplyCur_log,SplyCur_z_30d,total_dex_volume,total_dex_volume_log,dex_volume_z_30d,defillama_chain,chain_tvl,chain_tvl_log,chain_tvl_z_30d,score_component_return_shock,score_component_volume_shock,score_component_intraday_instability,score_component_drawdown_stress,score_component_stablecoin_peg_stress,score_component_defi_volume_context,score_component_chain_tvl_context,transparent_risk_score_raw,transparent_risk_score,isolation_forest_score,lof_score,robust_z_score,anomaly_ensemble_score,p_transparent,p_anomaly,p_abs_return,p_volume,p_range,p_drawdown_stress,p_dex_volume,p_chain_tvl_abs,lf_transparent_top5,lf_anomaly_top5,lf_return_volume_joint,lf_range_drawdown_joint,lf_stablecoin_depeg,lf_defi_context_shock,lf_multimethod_consensus,lf_vote_count,weak_supervision_score_raw,weak_supervision_score,weak_supervision_alert_top5
2021-01-01,37.37457275390625,38.92817687988281,37.04630661010742,37.90501022338867,37.90501022338867,459165743,BNB,BNB-USD,3.635083299219052,,,0,,,19.94492180088383,,,,,0.0496470059943213,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,729286271.03,20.40757690428902,1.065071746058541,BSC,162854223.0,18.90836602732987,0.5081307152317205,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.79193871332811,0.3319404544267432,0.2754043701575694,0.7138504396274049,0.056672760511883,0.332114564290067,0.1395490554539914,0.141986593540524,0.0030469226081657527,0.14198659354052406,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.7921998781230957,0.21084704448507008,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
2021-01-02,37.91710662841797,38.83625411987305,36.92560195922851,38.24159240722656,38.24159240722656,521965394,BNB,BNB-USD,3.643923729764571,0.0088404305455189,0.0088404305455189,0,,,20.07311185054598,,,,,0.0499626725869156,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,852132362.0,20.56325242836095,1.4593286160035124,BSC,167630390.0,18.937272060122787,0.7967209570472341,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.8900496213110473,0.4336206146078175,0.28539392356577,0.8270218507878471,0.1992687385740402,0.4875076173065204,0.3570993296770262,0.3162705667276051,0.005484460694698354,0.3162705667276051,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.8903107861060329,0.33028641072516757,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
2021-01-03,38.25372695922851,41.6063232421875,37.8181037902832,41.14897918701172,41.14897918701172,758008613,BNB,BNB-USD,3.7171991196953704,0.0732753899307994,0.0732753899307994,0,,,20.44620530765817,,,,,0.0920610796853014,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1384571334.0,21.048656423263864,2.553875709687341,BSC,172123374.0,18.963722074155164,1.0423721590776265,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.9790197614694872,0.5433098285017847,0.2953268912683903,0.966309741446853,0.6672760511882998,0.9037172455819622,0.7422303473491774,0.8223644119439366,0.009140767824497258,0.8223644119439366,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9792809262644728,0.45521023765996343,0,0,0,0,0,1,0,1,0.05,87.38574040219378,0
2021-01-04,41.198280334472656,43.13212203979492,38.14398193359375,40.92635345458984,40.92635345458984,807877171,BNB,BNB-USD,3.711774194294704,-0.0054249254006668,0.0054249254006668,1,,,20.509920590078455,,,,,0.1218808832244437,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1760672304.0,21.288961564533576,2.7048118984847496,BSC,186895591.0,19.04606068734296,1.835228507219623,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.9838948376425524,0.8499172978149212,0.3109010185427004,1.4886393314181248,0.7672151127361365,0.9305301645338208,0.7702620353443023,0.8714198659354052,0.01340645947592931,0.8714198659354052,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9841560024375381,0.8287629494210847,0,0,0,0,0,1,0,1,0.05,87.38574040219378,0
2021-01-05,40.937278747558594,41.73460006713867,38.97895431518555,41.73460006713867,41.73460006713867,644270927,BNB,BNB-USD,3.731330522583698,0.0195563282889943,0.0195563282889943,0,,,20.283629891253195,,,,,0.0660278461401356,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1461982394.0,21.10305915647783,2.0023246691325687,BSC,211045497.0,19.167584298527217,2.6756991274629667,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.9461129973012972,0.9724035866631844,0.3151362409680508,1.6366327152433184,0.7720901889092017,0.8689823278488726,0.6057282145033516,0.8001218769043267,0.014625228519195612,0.8001218769043267,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9463741620962828,0.9768433881779403,0,0,0,0,0,1,0,1,0.05,87.38574040219378,0
2021-01-06,41.775535583496094,42.19270324707031,40.592529296875,42.16595458984375,42.16595458984375,641021601,BNB,BNB-USD,3.7416131321594936,0.0102826095757957,0.0102826095757957,0,0.0303945997338142,,20.27857371478511,,,,,0.0379494301922133,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1413566366.0,21.069381686241893,1.752633846995752,BSC,215858449.0,19.19013342675569,2.474178022426259,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.9272220771306694,0.955601984852442,0.3133516148689823,1.5582832767476278,0.6703229737964655,0.7635588056063376,0.5374771480804388,0.6837294332723949,0.014015843997562462,0.6837294332723949,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9274832419256551,0.9567336989640464,0,0,0,0,0,1,0,1,0.05,87.38574040219378,0
2021-01-07,42.196624755859375,44.47003555297851,41.49586868286133,43.44948959350586,43.44948959350586,829964770,BNB,BNB-USD,3.7715991046574993,0.0299859724980056,0.0299859724980056,0,0.027415733405274,,20.536893813275807,,,,,0.0684511348221156,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1434981885.0,21.08441806308181,1.6346587537274402,BSC,215456820.0,19.18827108084268,2.1745037814145176,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.9150343866980064,0.9172107599895534,0.3108226691042047,1.479933838251937,0.5642900670322973,0.6831200487507617,0.4478976234003656,0.5752589884216941,0.012797074954296161,0.5752589884216941,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9152955514929921,0.9128580134064594,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
2021-01-08,43.56868743896485,43.5904655456543,40.534481048583984,42.39531707763672,42.39531707763672,650561500,BNB,BNB-USD,3.747037909856119,-0.0245611948013797,0.0245611948013797,1,0.0307595807166961,,20.293346395644583,,,,,0.0720830673697762,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1638451089.0,21.217017175184615,1.7385285759395983,BSC,197292639.0,19.100198666698468,1.3582755511476403,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.92539392356577,0.6862540262905894,0.2997928092626447,1.009837207277792,0.3741620962827544,0.6526508226691042,0.4954296160877514,0.4960390006093845,0.010359536867763558,0.4960390006093845,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.9256550883607556,0.6246191346739792,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
2021-01-09,42.37369537353515,44.11974334716797,41.59010314941406,43.93285369873047,43.93285369873047,590039660,BNB,BNB-USD,3.782662416012868,0.0356245061567488,0.0356245061567488,0,0.0313810881834221,,20.19570031463864,,,,,0.057579692298181,,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1330649256.0,21.008932823225095,1.2336474273938125,BSC,211193044.0,19.168283178382936,1.7216460464777603,0.312744841995299,0.2590319491599199,0.3100896665796117,0.0438756855575868,0.286193087838426,0.8455645512318273,0.817097588578393,0.3023435187603377,1.0620701662749197,0.2297379646556977,0.4229128580134064,0.2608165752589884,0.2663010359536867,0.010968921389396709,0.26630103595368676,0.629798903107861,0.5453991468616697,0.6276660572821451,0.05149299207800122,0.8458257160268129,0.7842778793418648,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
2021-01-10,43.944122314453125,45.155418395996094,40.59486389160156,42.4484748840332,42.4484748840332,701488832,BNB,BNB-USD,3.748290984762912,-0.0343714312499559,0.0343714312499559,1,0.0268713689991533,,20.36871553863454,0.4041616239653867,,,-0.0337874435582171,0.1074374171711399,1.3025421281561598,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1392378833.0,21.05427951269438,1.2335377889626231,BSC,215677849.0,19.18929641716672,1.7104668979642372,0.312744841995299,0.6557848002089318,0.8960564115957169,0.5813528336380256,0.286193087838426,0.8449551667101941,0.8139636110385653,0.5757917646034649,72.2468877861931,0.6057282145033516,0.7477148080438757,0.7550274223034735,0.7373552711761121,0.7215112736136502,0.7373552711761121,0.629798903107861,0.6812918951858623,0.8781230956733699,0.27544180377818406,0.8452163315051797,0.7818403412553321,0,0,0,0,0,0,0,0,0.0,42.45233742491512,0
