evaluation_scope,asset,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
all_assets,ALL,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
all_assets,ALL,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.05,574,0.10278745644599303,0.42142857142857143,8.433710801393728,59,140
all_assets,ALL,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
all_assets,ALL,weak_label_3d,weak_supervision_score,11487,140,0.01218769043266301,0.13133631323567646,0.7154908786463381,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
by_asset,BNB,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.125,0.14285714285714285,14.651785714285715,2,14
by_asset,BNB,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.06097560975609756,0.35714285714285715,7.147212543554007,5,14
by_asset,BNB,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.036585365853658534,0.42857142857142855,4.288327526132404,6,14
by_asset,BNB,weak_label_3d,weak_supervision_score,1641,14,0.008531383302864107,0.05086435701642022,0.7237685485995259,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.024390243902439025,0.5714285714285714,2.8588850174216027,8,14
by_asset,BTC,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.25,0.11428571428571428,11.721428571428572,4,35
by_asset,BTC,weak_label_3d,weak_supervision_score,1641,35,0.021328458257160267,0.0936555743251793,0.6525440313111546,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.13414634146341464,0.3142857142857143,6.289547038327527,11,35
