date,open,high,low,close,adj_close,volume,asset,ticker,log_close,log_return,abs_log_return,negative_return,rolling_vol_7d,rolling_vol_30d,volume_log,volume_z_30d,return_z_30d,abs_return_z_30d,drawdown_30d,intraday_range,intraday_range_z_30d,stablecoin_peg_deviation,stablecoin_depeg_1pct,event_count_3d,event_ids_3d,weak_label_3d,event_count_7d,event_ids_7d,event_type_list_7d,severity_list_7d,weak_label_7d,AdrActCnt,TxCnt,CapMrktCurUSD,SplyCur,AdrActCnt_log,AdrActCnt_z_30d,TxCnt_log,TxCnt_z_30d,CapMrktCurUSD_log,CapMrktCurUSD_z_30d,SplyCur_log,SplyCur_z_30d,total_dex_volume,total_dex_volume_log,dex_volume_z_30d,defillama_chain,chain_tvl,chain_tvl_log,chain_tvl_z_30d,score_component_return_shock,score_component_volume_shock,score_component_intraday_instability,score_component_drawdown_stress,score_component_stablecoin_peg_stress,score_component_defi_volume_context,score_component_chain_tvl_context,transparent_risk_score_raw,transparent_risk_score,isolation_forest_score,lof_score,robust_z_score,anomaly_ensemble_score,p_transparent,p_anomaly,p_abs_return,p_volume,p_range,p_drawdown_stress,p_dex_volume,p_chain_tvl_abs,lf_transparent_top5,lf_anomaly_top5,lf_return_volume_joint,lf_range_drawdown_joint,lf_stablecoin_depeg,lf_defi_context_shock,lf_multimethod_consensus,lf_vote_count,weak_supervision_score_raw,weak_supervision_score,weak_supervision_alert_top5,asset_score_pct,taxonomy_category,review_note,manual_review_priority,claim_boundary
2021-02-01,44.30907440185547,52.1386833190918,43.524192810058594,51.607696533203125,51.607696533203125,1256933735,BNB,BNB-USD,3.943670818984841,0.153228199719674,0.153228199719674,0,0.0586190811928366,0.0498048386473211,20.951941049174533,3.2810386709967383,2.8759581191154533,3.3530032060619175,0.0,0.1669225927084509,2.3876944181447777,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,1715442404.85,21.262936846892437,0.8833190923110861,BSC,388359333.0,19.77744158756105,2.065417873398468,0.989205188473927,0.9975624619134674,0.9650039174719248,0.0438756855575868,0.286193087838426,0.7474536432488901,0.8985810046139113,0.7011534778445198,90.85052668233656,0.979890310786106,0.8220597196831201,0.9774527726995734,0.9585618525289458,0.8957952468007313,0.9585618525289458,0.987812309567337,0.9987812309567335,0.9634369287020108,0.0514929920780012,0.7477148080438757,0.8927483241925656,0,1,1,0,0,0,0,2,0.35,96.79637851484286,1,0.9625228519195612,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-02-09,79.80702209472656,115.13184356689452,78.44632720947266,107.89927673339844,107.89927673339844,4425849540,BNB,BNB-USD,4.681198169122053,0.3012794674693717,0.3012794674693717,0,0.1187408323324351,0.0832067754679836,22.21072808364589,3.2298649148083745,3.247122122020316,3.643513138733277,0.0,0.3399977967235666,3.728426754047101,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,2288759247.0,21.551275694578365,1.4574350193704413,BSC,679656924.0,20.337098706761527,2.23505102125365,0.9924262209454164,0.9967789675285104,0.9903369025855314,0.0438756855575868,0.286193087838426,0.888830852267781,0.9277444067206408,0.7148080438756855,92.43492643858276,0.9896404631322364,0.8817794028031688,0.9853747714808044,0.9762340036563072,0.9128580134064594,0.9762340036563072,0.991468616697136,0.9975624619134674,0.991468616697136,0.0514929920780012,0.8890920170627666,0.9238269347958562,0,1,1,0,0,0,1,3,0.4499999999999999,97.83668494820232,1,0.9722730042656916,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-02-19,195.98785400390625,342.8796081542969,195.3857421875,332.61602783203125,332.61602783203125,17982945189,BNB,BNB-USD,5.806988755110773,0.5292178669714955,0.5292178669714955,0,0.2070857522745568,0.1285426478687335,23.612689656246275,2.610027474803917,3.584170617782138,3.851146530698177,0.0,0.4434358347917023,3.137276319895843,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,3951720999.0,22.097417017173942,2.7201581741359955,BSC,1525907580.0,21.145855205065104,1.8641740920639704,0.994341429441978,0.9865064855924088,0.9829372333942716,0.0438756855575868,0.286193087838426,0.9851136066858188,0.8559240880995909,0.7132715243318534,92.2434055889266,0.9902498476538696,0.8244972577696527,0.9890310786106032,0.9634369287020108,0.9116392443631932,0.9634369287020108,0.9945155393053016,0.9804996953077392,0.984156002437538,0.0514929920780012,0.9853747714808044,0.8360755636806825,0,1,1,0,0,1,1,4,0.5,98.24584312701316,1,0.9780621572212066,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-02-20,332.91845703125,334.4550476074219,227.91375732421875,255.9537353515625,255.9537353515625,9680520706,BNB,BNB-USD,5.544996706864545,-0.2619920482462277,0.2619920482462277,1,0.2507262414928752,0.1389511427946932,22.993381528833613,1.7931810377164867,-2.3390281479510264,1.4079350896053324,-0.2304828573059103,0.4162521407896801,2.450081392146877,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,4066163829.0,22.12596584401177,2.4301377928963457,BSC,1891195844.0,21.36047518815587,2.0371619758391177,0.9012797074954296,0.944023678941412,0.9676155654217812,0.9209541220510142,0.286193087838426,0.9723165317315224,0.8932706537825368,0.8414947331766344,99.4950813963611,0.9719683120048752,0.9670932358318098,0.9280926264472884,0.9811090798293725,0.992078001218769,0.9811090798293725,0.9049360146252284,0.9274832419256552,0.9664838513101768,0.9061547836684948,0.9725776965265084,0.8860450944546009,1,1,1,1,0,1,1,6,0.8500000000000001,99.80847915034389,1,0.9981718464351006,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-02-23,267.3644104003906,268.5368347167969,190.41246032714844,230.99424743652344,230.99424743652344,8280752930,BNB,BNB-USD,5.442392807339519,-0.1467633794197569,0.1467633794197569,1,0.2698805463390052,0.1471149391526186,22.837199734905013,1.3215199158881368,-1.384506442603178,0.3565449405828002,-0.3055228007437636,0.3382091773134601,1.5201513629595766,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,5372439705.0,22.404547963709728,2.6383578306169055,BSC,1854970032.0,21.34113437815834,1.545733343925637,0.7312614259597806,0.891007225559328,0.916775485331244,0.964046313223644,0.286193087838426,0.9808479150343868,0.7612953773831288,0.786980934969966,97.86715417428398,0.9609993906154785,0.9774527726995734,0.8805606337599025,0.9683120048750762,0.9719683120048752,0.9683120048750762,0.7385740402193784,0.8695917123705058,0.9079829372333944,0.9591712370505788,0.9811090798293725,0.7117611212675198,1,1,0,1,0,1,1,5,0.7000000000000001,99.29050230695567,1,0.992078001218769,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-04-18,520.5902709960938,526.0587768554688,429.0528869628906,481.03424072265625,481.03424072265625,6711806048,BNB,BNB-USD,6.175938454105709,-0.0786914750410563,0.0786914750410563,1,0.0750942469248802,0.0651186776772896,22.627133909537676,1.037744296793429,-1.5154464525947835,0.6097878119474426,-0.1965658294350603,0.2016610912080738,2.5271922144233008,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,5734574197.0,22.46977933856386,2.0262742144307273,BSC,12037209877.0,23.211268512264112,1.4833727987655445,0.7902846696265343,0.8362496735440063,0.9690954992600332,0.8900496213110473,0.286193087838426,0.9491599199094628,0.7375293810394359,0.7834351876033778,97.65822233829546,0.9378427787934186,0.9335770871419866,0.9329677026203534,0.9643510054844608,0.9689213893967094,0.9643510054844608,0.7873248019500305,0.8318098720292505,0.9689213893967094,0.8641072516758075,0.9494210847044484,0.6825106642291285,1,1,0,0,0,0,1,3,0.5,98.24584312701316,1,0.9780621572212066,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-05-19,508.86273193359375,515.716552734375,283.4537048339844,339.0254821777344,339.0254821777344,8779943654,BNB,BNB-USD,5.826075273221311,-0.4044500874670103,0.4044500874670103,1,0.1515060673168919,0.097469999529485,22.895735827146876,1.795887468724866,-4.0131443964297535,4.600084075923252,-0.498248528870842,0.6850896469741665,4.893610078136581,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,24638569992.0,23.9275789379292,3.3847732494386524,BSC,12331484326.0,23.235421530251053,-1.6248832114051963,0.9982589013667624,0.9446330634630452,0.9974754069818056,0.9945155393053016,0.286193087838426,0.9979106816401148,0.7898493949682249,0.8776643161835117,99.84330112300862,1.0,1.0,0.9981718464351006,1.0,0.9987812309567335,1.0,0.9987812309567335,0.9293113954905544,0.9993906154783668,0.9963436928702012,0.9981718464351006,0.748933577087142,1,1,1,1,0,1,1,6,0.8500000000000001,99.80847915034389,1,0.9981718464351006,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-05-20,335.5567321777344,424.2942504882813,286.0894470214844,393.6127624511719,393.6127624511719,7093839295,BNB,BNB-USD,5.97536758957918,0.1492923163578687,0.1492923163578687,0,0.1744954209884398,0.0974099837428537,22.68249253953124,1.2188821433932882,1.6693964108773212,1.1567665483245668,-0.4174603591845938,0.3511187051104355,1.8386779764809955,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,17315928386.0,23.574892630862703,2.1231192343151655,BSC,11121544167.0,23.132149980156907,-2.0759993131191297,0.8750761730652041,0.874466788543571,0.9388874379733612,0.9888569687472796,0.286193087838426,0.9546443806041612,0.9001479933838252,0.8297214242186819,99.24262209454166,0.9737964655697744,0.9213893967093236,0.964046313223644,0.9768433881779404,0.9896404631322364,0.9768433881779404,0.878732480195003,0.8580134064594759,0.9329677026203534,0.987812309567337,0.9549055453991468,0.894576477757465,1,1,0,1,0,1,1,5,0.7000000000000001,99.29050230695567,1,0.992078001218769,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-05-21,391.54156494140625,415.7067260742187,275.3926696777344,326.29632568359375,326.29632568359375,6291181865,BNB,BNB-USD,5.787805942989119,-0.1875616465900602,0.1875616465900602,1,0.1736358206521432,0.1019800346065936,22.56241478603395,0.8997074441387823,-1.6709130815658146,1.5510567625873342,-0.5170874460995476,0.4300203384225216,2.1904240883007255,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,12983925756.0,23.28697794910477,1.2918752090504853,BSC,10144124046.0,23.040160463174555,-2.384730383821613,0.9144250021763732,0.8043875685557587,0.9581265778706364,0.99582136328023,0.286193087838426,0.8620179333159224,0.947679986071211,0.8282258204927309,99.23391660137548,0.984156002437538,0.9792809262644728,0.9896404631322364,0.9929920780012188,0.9890310786106032,0.9929920780012188,0.914686166971359,0.8049969530773918,0.9549055453991468,0.9975624619134674,0.862279098110908,0.9463741620962828,1,1,0,1,0,0,1,4,0.65,98.87699138156177,1,0.9859841560024375,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2021-05-23,300.0354309082031,313.525146484375,213.51646423339844,262.9456787109375,262.9456787109375,5336233746,BNB,BNB-USD,5.571947466019112,-0.130180605384643,0.130180605384643,1,0.1691296933275818,0.103602507764581,22.39778595025997,0.5639250687909338,-1.0331121796867502,0.7600783738232945,-0.6108452371403114,0.3803397064414909,1.6826756277252666,0.0,0,0,,0,0,,,,0,,,,,,,,,,,,,11659759600.0,23.179409400246268,0.9427509257986382,BSC,8957548086.0,22.915762375479517,-2.55153780112298,0.8184034125533212,0.7056672760511883,0.9287020109689214,0.9981718464351006,0.286193087838426,0.7578131801166537,0.9624793244537304,0.7799878123095674,97.44929050230697,0.9823278488726388,0.9963436928702012,0.9987812309567335,0.9972577696526508,0.967702620353443,0.9972577696526508,0.8214503351614869,0.7276051188299817,0.9219987812309568,1.0,0.7580743449116393,0.9670932358318098,1,1,0,1,0,1,1,5,0.7000000000000001,99.29050230695567,1,0.992078001218769,multi_method_market_stress_non_event,"Multiple methods agree and market stress variables are elevated, but no event-window label is present.",medium_high,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
