date,asset,weak_supervision_score,weak_supervision_score_raw,lf_vote_count,weak_supervision_alert_top5,transparent_risk_score,anomaly_ensemble_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,lf_transparent_top5,lf_anomaly_top5,lf_return_volume_joint,lf_range_drawdown_joint,lf_stablecoin_depeg,lf_defi_context_shock,lf_multimethod_consensus,claim_boundary
2023-03-11,USDC,99.9956472534169,1.0000000000000002,7,1,100.0,1.0,1,1,E003,stablecoin_depeg,high,-0.0283928913003175,4.247235213985159,5.294398995235628,-0.0287865702198393,0.0285000205039978,1,1,1,1,1,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2023-03-12,USDC,99.9956472534169,1.0000000000000002,7,1,99.88682858883956,0.9987812309567335,1,1,E003,stablecoin_depeg,high,0.0209514196194405,1.891513353292975,1.7405323555454009,-0.0082236107067468,0.0079309940338135,1,1,1,1,1,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-01-21,ETH,99.80847915034387,0.8500000000000001,6,1,99.55601984852444,0.9811090798293725,0,0,,,,-0.1597866123370455,2.3013873994945975,4.180921300254841,-0.3773315697588175,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-09,SOL,99.80847915034387,0.8500000000000001,6,1,99.92165056150432,0.9951249238269348,0,0,,,,-0.1730137997587535,2.2522269450735997,3.4664472078382538,-0.4337902972797575,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,99.80847915034387,0.8500000000000001,6,1,99.9912945068338,0.9975624619134674,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-13,ETH,99.80847915034387,0.8500000000000001,6,1,99.58213632802298,0.9783668494820232,0,0,,,,-0.1821259210514076,2.721497953992876,3.884739507862645,-0.4386079351994552,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-12,USDT,99.80847915034387,0.8500000000000001,6,1,99.89553408200574,0.9966483851310176,1,1,E001,stablecoin_depeg,high,0.0017426792257216,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,BTC,99.80847915034387,0.8500000000000001,6,1,99.75624619134676,0.9539914686166971,1,1,E001,stablecoin_depeg,high,-0.0696270636865197,2.3662781876531844,2.7431096203378713,-0.3027846234586865,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-05,USDT,99.80847915034387,0.8500000000000001,6,1,99.59084182118916,0.9776051188299816,0,0,,,,-0.003142218277616,2.4118061170975413,1.2486311784515522,-0.0031372866765053,0.0002540349960327,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-04-05,USDT,99.80847915034387,0.8500000000000001,6,1,99.59954731435536,0.978823887873248,0,0,,,,-0.003142218277616,2.4118061170975413,1.2486311784515522,-0.0031372866765053,0.0002540349960327,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2021-02-20,BNB,99.80847915034387,0.8500000000000001,6,1,99.4950813963611,0.9811090798293725,0,0,,,,-0.2619920482462277,1.7931810377164867,2.450081392146877,-0.2304828573059103,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,ETH,99.80847915034387,0.8500000000000001,6,1,99.48637590319493,0.975624619134674,1,1,E001,stablecoin_depeg,high,-0.1230834696703473,2.511998326358075,3.85568099793222,-0.3355099744471389,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-06-13,BTC,99.80847915034387,0.8500000000000001,6,1,99.66048576651868,0.9987812309567335,0,0,,,,-0.1740525517766702,2.8090472311422787,4.381096070334634,-0.2926783777253529,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-01-22,SOL,99.80847915034387,0.8500000000000001,6,1,99.86941760250718,0.995734308348568,0,0,,,,-0.1730052492333333,2.2451105724058507,3.631710700148751,-0.5243534381777806,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
2022-05-11,SOL,99.80847915034387,0.8500000000000001,6,1,99.97388352050145,0.9993906154783668,0,0,,,,-0.284965102911531,2.7536052477033826,4.504107725731709,-0.5375768054443825,0.0,1,1,1,1,0,1,1,"Weak-supervision top alerts are review candidates, not confirmed fraud cases."
