check_family,score_family,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
main_weak_label,ablation,weak_label_3d,score_component_drawdown_stress,11487,140,0.01218769043266301,0.016748997625231896,0.5766445504790442,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.015665796344647518,0.12857142857142856,1.2853785900783288,18,140
main_weak_label,ablation,weak_label_3d,score_component_drawdown_stress,11487,140,0.01218769043266301,0.016748997625231896,0.5766445504790442,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.01697866782760122,0.2785714285714286,1.3930996952546801,39,140
main_weak_label,ablation,weak_label_3d,score_component_intraday_instability,11487,140,0.01218769043266301,0.07851642376448921,0.7207247982474916,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.16521739130434782,0.1357142857142857,13.556086956521739,19,140
main_weak_label,ablation,weak_label_3d,score_component_intraday_instability,11487,140,0.01218769043266301,0.07851642376448921,0.7207247982474916,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.06794425087108014,0.2785714285714286,5.574825783972125,39,140
main_weak_label,ablation,weak_label_3d,score_component_intraday_instability,11487,140,0.01218769043266301,0.07851642376448921,0.7207247982474916,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.04873803307223673,0.4,3.9989556135770234,56,140
main_weak_label,ablation,weak_label_3d,score_component_intraday_instability,11487,140,0.01218769043266301,0.07851642376448921,0.7207247982474916,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03134523291249456,0.5142857142857142,2.5718763604701786,72,140
main_weak_label,ablation,weak_label_3d,score_component_return_shock,11487,140,0.01218769043266301,0.09458276052889387,0.6680560626471439,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.14782608695652175,0.12142857142857143,12.12913043478261,17,140
main_weak_label,ablation,weak_label_3d,score_component_return_shock,11487,140,0.01218769043266301,0.09458276052889387,0.6680560626471439,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.06794425087108014,0.2785714285714286,5.574825783972125,39,140
main_weak_label,ablation,weak_label_3d,score_component_return_shock,11487,140,0.01218769043266301,0.09458276052889387,0.6680560626471439,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.04264577893820714,0.35,3.499086161879896,49,140
main_weak_label,ablation,weak_label_3d,score_component_return_shock,11487,140,0.01218769043266301,0.09458276052889387,0.6680560626471439,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.027427078798432737,0.45,2.250391815411406,63,140
