date,asset,anomaly_ensemble_score,isolation_forest_score,lof_score,robust_z_score,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,claim_boundary
2021-05-19,BTC,1.0,1.0,0.9890310786106032,0.987812309567337,99.93906154783669,0,0,,,,-0.1481070763518861,0.0565681499343873,2.8466154526301017,4.478238457004,-0.3707472023447685,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-05-19,BNB,1.0,1.0,1.0,0.9981718464351006,99.84330112300862,0,0,,,,-0.4044500874670103,0.1515060673168919,1.795887468724866,4.893610078136581,-0.498248528870842,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-03-11,USDC,1.0,1.0,1.0,1.0,100.0,1,1,E003,stablecoin_depeg,high,-0.0283928913003175,0.0106980744351061,4.247235213985159,5.294398995235628,-0.0287865702198393,0.0285000205039978,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-07-05,ETH,1.0,0.9768433881779403,0.9993906154783668,1.0,7.921998781230958,0,0,,,,-0.0135401248702242,0.0189324986402665,-0.349035032039501,-0.5792130453019405,-0.0229116271961727,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-11-09,SOL,1.0,1.0,0.9993906154783668,1.0,99.96517802733524,1,1,E002,exchange_failure,high,-0.5495821084962169,0.2209256968217488,2.4352872698357046,4.757991953704207,-0.6208195872887149,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-03-11,USDT,0.9998476538695917,0.9986288848263254,0.9987812309567337,0.9992382693479586,98.9292243405589,1,1,E003,stablecoin_depeg,high,0.004618179100107,0.0019383354104316,1.9305533120565168,5.236116456733806,0.0,0.0076899528503417,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-17,USDT,0.9998476538695917,0.996800731261426,1.0,0.9998476538695917,97.81492121528684,0,0,,,,0.0091218565348114,0.0037036553859939,1.7730205759071478,3.631510717450691,0.0,0.0115300416946411,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-04-17,USDC,0.9993906154783668,0.9981718464351006,0.9993906154783668,0.9993906154783668,97.64081135196308,0,0,,,,0.0094089041535738,0.003927452990785,1.6089242459706476,3.687250581250917,0.0,0.0104960203170776,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-05-09,BNB,0.9993906154783668,0.9993906154783668,0.9926873857404022,0.9963436928702011,99.91294506833812,0,0,,,,-0.1716304683028857,0.0682773640388222,2.2834324317660357,4.387996024974091,-0.2925369825264517,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-08-17,BTC,0.9993906154783668,0.9975624619134674,0.9829372333942717,0.9908592321755028,99.2078001218769,0,0,,,,-0.0736241200960634,0.0270756098803733,2.6489166346716737,4.7812690559996245,-0.113679264759385,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
