data_layer,dataset,scope,file_path,file_exists,file_size_kb,file_status,n_rows,n_columns,start_date,end_date,coverage_quality,notes,claim_boundary
Layer 2/3: Coin Metrics,asset_metrics,SOL:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,download_failed,0,0,,,failed,HTTPError: 403 Client Error: Forbidden for url: https://community-api.coinmetrics.io/v4/timeseries/asset-metrics?assets=sol&metrics=CapMrktCurUSD&frequency=1d&start_time=2021-01-01&end_time=2025-06-30&page_size=10000,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,SOL:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,download_failed,0,0,,,failed,HTTPError: 403 Client Error: Forbidden for url: https://community-api.coinmetrics.io/v4/timeseries/asset-metrics?assets=sol&metrics=SplyCur&frequency=1d&start_time=2021-01-01&end_time=2025-06-30&page_size=10000,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDC:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDC:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDC:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDC:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDT:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDT:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDT:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,USDT:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,stablecoin_chains,all_chains_current,projects/topic2_blockchain_risk/data/raw/defillama_stablecoin_chains.csv,True,12.77,available,207,2,,,high,Current stablecoin market-cap context by chain.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,dex_volume_daily,all_chains,projects/topic2_blockchain_risk/data/raw/defillama_dex_volume_daily.csv,True,94.77,available,4564,2,2014-02-17,2026-08-16,high,Daily aggregate DEX volume context.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,chain_tvl,Ethereum,projects/topic2_blockchain_risk/data/raw/defillama_chain_tvl.csv,True,263.95,available,3246,3,2017-09-27,2026-08-16,high,Historical chain TVL context.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,chain_tvl,Solana,projects/topic2_blockchain_risk/data/raw/defillama_chain_tvl.csv,True,263.95,available,1979,3,2021-03-17,2026-08-16,high,Historical chain TVL context.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,chain_tvl,BSC,projects/topic2_blockchain_risk/data/raw/defillama_chain_tvl.csv,True,263.95,available,2117,3,2020-10-30,2026-08-16,high,Historical chain TVL context.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: DeFiLlama,chain_tvl,Bitcoin,projects/topic2_blockchain_risk/data/raw/defillama_chain_tvl.csv,True,263.95,available,1976,3,2021-03-20,2026-08-16,high,Historical chain TVL context.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 4: Incident ledger,validated_incident_ledger,public_seed_events,projects/topic2_blockchain_risk/data/processed/incident_ledger_validated.csv,True,1.96,available,5,15,2022-05-09,2024-03-15,high,validated_events=5; total_events=5,"Incident ledger records public events, not verified fraud ground truth."
Layer 4: Weak-label windows,event_windows,event_window_3d_and_7d,projects/topic2_blockchain_risk/data/processed/event_windows.csv,True,56.07,available,396,10,2022-05-02,2024-03-22,high,"window_names=event_window_3d,event_window_7d","Event windows are weak labels, not verified fraud labels."
